pokedex_entry,pokemon_name,pokemon_types,species,height,weight,abilities,ev_yield,catch_rate,friendship,base_exp,growth_rate,egg_groups,genders,egg_cycles,super_effective_on_subject,not_effective_on_subject,no_effect_on_subject,description,level_up_moves
154,Meganium,['Grass'],Herb Pokémon,1.8 m (5′11″),100.5 kg (221.6 lbs),"['Overgrow', 'Leaf Guard']","
1 Defense, 2 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),236,Medium Slow,"['Grass', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Fire', 'Ice', 'Poison', 'Flying', 'Bug']","['Water', 'Electric', 'Grass', 'Ground']",[],"The fragrance of Meganium’s flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe’s fighting spirit.","[('1', 'Growl'), ('1', 'Petal Blizzard'), ('1', 'Petal Dance'), ('1', 'Poison Powder'), ('1', 'Razor Leaf'), ('1', 'Tackle'), ('6', 'Razor Leaf'), ('9', 'Poison Powder'), ('12', 'Synthesis'), ('18', 'Reflect'), ('22', 'Magical Leaf'), ('26', 'Natural Gift'), ('34', 'Sweet Scent'), ('40', 'Light Screen'), ('46', 'Body Slam'), ('54', 'Safeguard'), ('60', 'Aromatherapy'), ('66', 'Solar Beam'), ('70', 'Petal Blizzard')]"
001,Bulbasaur,"['Grass', 'Poison']",Seed Pokémon,0.7 m (2′04″),6.9 kg (15.2 lbs),"['Overgrow', 'Chlorophyll']","
1 Special Attack ","45 (5.9% with PokéBall, full HP)",70 (normal),64,Medium Slow,"['Grass', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Fire', 'Ice', 'Flying', 'Psychic']","['Water', 'Electric', 'Fighting', 'Fairy']",[],"While it is young, it uses the nutrients that are stored in the seed on its back in order to grow.","[('1', 'Growl'), ('1', 'Tackle'), ('3', 'Vine Whip'), ('6', 'Growth'), ('9', 'Leech Seed'), ('12', 'Razor Leaf'), ('15', 'Poison Powder'), ('15', 'Sleep Powder'), ('18', 'Seed Bomb'), ('21', 'Take Down'), ('24', 'Sweet Scent'), ('27', 'Synthesis'), ('30', 'Worry Seed'), ('33', 'Double-Edge'), ('36', 'Solar Beam')]"
002,Ivysaur,"['Grass', 'Poison']",Seed Pokémon,1.0 m (3′03″),13.0 kg (28.7 lbs),"['Overgrow', 'Chlorophyll']","
1 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),142,Medium Slow,"['Grass', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Fire', 'Ice', 'Flying', 'Psychic']","['Water', 'Electric', 'Fighting', 'Fairy']",[],Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.,"[('1', 'Growl'), ('1', 'Growth'), ('1', 'Tackle'), ('1', 'Vine Whip'), ('9', 'Leech Seed'), ('12', 'Razor Leaf'), ('15', 'Poison Powder'), ('15', 'Sleep Powder'), ('20', 'Seed Bomb'), ('25', 'Take Down'), ('30', 'Sweet Scent'), ('35', 'Synthesis'), ('40', 'Worry Seed'), ('45', 'Double-Edge'), ('50', 'Solar Beam')]"
003,Venusaur,"['Grass', 'Poison']",Seed Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),"['Overgrow', 'Chlorophyll']","
2 Special Attack, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),236,Medium Slow,"['Grass', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Flying', 'Psychic']","['Water', 'Electric', 'Fighting', 'Fairy']",[],003 (Red/Blue/Yellow)228 (Gold/Silver/Crystal)003 (FireRed/LeafGreen)233 (HeartGold/SoulSilver)082 (X/Y — Central Kalos)003 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Growl'), ('1', 'Growth'), ('1', 'Petal Blizzard'), ('1', 'Petal Dance'), ('1', 'Tackle'), ('1', 'Vine Whip'), ('9', 'Leech Seed'), ('12', 'Razor Leaf'), ('15', 'Poison Powder'), ('15', 'Sleep Powder'), ('20', 'Seed Bomb'), ('25', 'Take Down'), ('30', 'Sweet Scent'), ('37', 'Synthesis'), ('44', 'Worry Seed'), ('51', 'Double-Edge'), ('58', 'Solar Beam')]"
004,Charmander,['Fire'],Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"['Blaze', 'Solar Power']","
1 Speed ","45 (5.9% with PokéBall, full HP)",70 (normal),62,Medium Slow,"['Dragon', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[],"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.","[('1', 'Growl'), ('1', 'Scratch'), ('4', 'Ember'), ('8', 'Smokescreen'), ('12', 'Dragon Breath'), ('17', 'Fire Fang'), ('20', 'Slash'), ('24', 'Flamethrower'), ('28', 'Scary Face'), ('32', 'Fire Spin'), ('36', 'Inferno'), ('40', 'Flare Blitz')]"
005,Charmeleon,['Fire'],Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),"['Blaze', 'Solar Power']","
1 Special Attack, 1 Speed ","45 (5.9% with PokéBall, full HP)",70 (normal),142,Medium Slow,"['Dragon', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Water', 'Ground', 'Rock']","['Fire', 'Grass', 'Ice', 'Bug', 'Steel', 'Fairy']",[],"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.","[('1', 'Ember'), ('1', 'Growl'), ('1', 'Scratch'), ('1', 'Smokescreen'), ('12', 'Dragon Breath'), ('19', 'Fire Fang'), ('24', 'Slash'), ('30', 'Flamethrower'), ('37', 'Scary Face'), ('42', 'Fire Spin'), ('48', 'Inferno'), ('54', 'Flare Blitz')]"
006,Charizard,"['Fire', 'Flying']",Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),"['Blaze', 'Solar Power']","
3 Special Attack ","45 (5.9% with PokéBall, full HP)",70 (normal),240,Medium Slow,"['Dragon', 'Monster']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Water', 'Electric', 'Rock']","['Fire', 'Fighting', 'Steel', 'Fairy']",['Ground'],006 (Red/Blue/Yellow)231 (Gold/Silver/Crystal)006 (FireRed/LeafGreen)236 (HeartGold/SoulSilver)085 (X/Y — Central Kalos)006 (Let's Go Pikachu/Let's Go Eevee)380 (Sword/Shield),"[('1', 'Air Slash'), ('1', 'Dragon Claw'), ('1', 'Ember'), ('1', 'Growl'), ('1', 'Heat Wave'), ('1', 'Scratch'), ('1', 'Smokescreen'), ('12', 'Dragon Breath'), ('19', 'Fire Fang'), ('24', 'Slash'), ('30', 'Flamethrower'), ('39', 'Scary Face'), ('46', 'Fire Spin'), ('54', 'Inferno'), ('62', 'Flare Blitz')]"
007,Squirtle,['Water'],Tiny Turtle Pokémon,0.5 m (1′08″),9.0 kg (19.8 lbs),"['Torrent', 'Rain Dish']","
1 Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),63,Medium Slow,"['Monster', 'Water 1']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[],"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth.","[('1', 'Tackle'), ('1', 'Tail Whip'), ('3', 'Water Gun'), ('6', 'Withdraw'), ('9', 'Rapid Spin'), ('12', 'Bite'), ('15', 'Water Pulse'), ('18', 'Protect'), ('21', 'Rain Dance'), ('24', 'Aqua Tail'), ('27', 'Shell Smash'), ('30', 'Iron Defense'), ('33', 'Hydro Pump'), ('36', 'Skull Bash')]"
008,Wartortle,['Water'],Turtle Pokémon,1.0 m (3′03″),22.5 kg (49.6 lbs),"['Torrent', 'Rain Dish']","
1 Defense, 1 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),142,Medium Slow,"['Monster', 'Water 1']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[],It cleverly controls its furry ears and tail to maintain its balance while swimming.,"[('1', 'Tackle'), ('1', 'Tail Whip'), ('1', 'Water Gun'), ('1', 'Withdraw'), ('9', 'Rapid Spin'), ('12', 'Bite'), ('15', 'Water Pulse'), ('20', 'Protect'), ('25', 'Rain Dance'), ('30', 'Aqua Tail'), ('35', 'Shell Smash'), ('40', 'Iron Defense'), ('45', 'Hydro Pump'), ('50', 'Skull Bash')]"
009,Blastoise,['Water'],Shellfish Pokémon,1.6 m (5′03″),85.5 kg (188.5 lbs),"['Torrent', 'Rain Dish']","
3 Special Defense ","45 (5.9% with PokéBall, full HP)",70 (normal),239,Medium Slow,"['Monster', 'Water 1']","['87.5% male', '12.5% female']","20 (4,884–5,140 steps)
","['Electric', 'Grass']","['Fire', 'Water', 'Ice', 'Steel']",[],009 (Red/Blue/Yellow)234 (Gold/Silver/Crystal)009 (FireRed/LeafGreen)239 (HeartGold/SoulSilver)088 (X/Y — Central Kalos)009 (Let's Go Pikachu/Let's Go Eevee),"[('1', 'Flash Cannon'), ('1', 'Tackle'), ('1', 'Tail Whip'), ('1', 'Water Gun'), ('1', 'Withdraw'), ('9', 'Rapid Spin'), ('12', 'Bite'), ('15', 'Water Pulse'), ('20', 'Protect'), ('25', 'Rain Dance'), ('30', 'Aqua Tail'), ('35', 'Shell Smash'), ('42', 'Iron Defense'), ('49', 'Hydro Pump'), ('56', 'Skull Bash')]"
